"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","Agriculture, General.",
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.","Agriculture, General.","Agriculture, General."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,"Agricultural Business and Management, General."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,Agribusiness/Agricultural Business Operations.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,Agricultural Economics.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,Farm/Farm and Ranch Management.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,Agricultural/Farm Supplies Retailing and Wholesaling.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,Agricultural Business Technology.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Business and Management.,"Agricultural Business and Management, Other."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Mechanization.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Mechanization.,"Agricultural Mechanization, General."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Mechanization.,Agricultural Power Machinery Operation.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Mechanization.,Agricultural Mechanics and Equipment/Machine Technology.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Mechanization.,"Agricultural Mechanization, Other."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,"Agricultural Production Operations, General."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,Animal/Livestock Husbandry and Production.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,Aquaculture.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,Crop Production.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,Dairy Husbandry and Production.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,Horse Husbandry/Equine Science and Management.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,Agroecology and Sustainable Agriculture.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,Viticulture and Enology.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Production Operations.,"Agricultural Production Operations, Other."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Food Products Processing.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Food Products Processing.,Agricultural and Food Products Processing.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Domestic Animal Services.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Domestic Animal Services.,Dog/Pet/Animal Grooming.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Domestic Animal Services.,Animal Training.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Domestic Animal Services.,Equestrian/Equine Studies.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Domestic Animal Services.,Taxidermy/Taxidermist.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural and Domestic Animal Services.,"Agricultural and Domestic Animal Services, Other."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,"Applied Horticulture/Horticulture Operations, General."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,Ornamental Horticulture.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,Greenhouse Operations and Management.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,Landscaping and Groundskeeping.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,Plant Nursery Operations and Management.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,Turf and Turfgrass Management.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,Floriculture/Floristry Operations and Management.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Applied Horticulture and Horticultural Business Services.,"Applied Horticulture/Horticultural Business Services, Other."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",International Agriculture.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",International Agriculture.,International Agriculture.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Public Services.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Public Services.,Agricultural and Extension Education Services.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Public Services.,Agricultural Communication/Journalism.
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Agricultural Public Services.,"Agricultural Public Services, Other."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Animal Sciences.,
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Animal Sciences.,"Animal Sciences, General."
"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",Animal Sciences.,Agricultural Animal Breeding.
